img,class,cls_conf,obj_conf,xmin,xmax,ymin,ymax
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.998941,0.677881,358,498,226,365
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.998207,0.016033,381,492,227,338
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.99731,0.0240385,262,415,247,400
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.99729,0.00349455,267,367,286,385
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.997275,0.00390989,356,461,248,353
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.996671,0.0131882,276,498,196,419
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.996595,0.00229932,414,447,72,105
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.996192,0.012139,482,519,97,135
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.996007,0.00130474,400,500,245,346
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.995529,0.00166787,307,403,282,378
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.994955,0.00165214,162,212,63,112
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.993499,0.00201473,425,486,253,315
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.992251,0.00105814,281,343,306,368
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,2,0.990543,0.00108528,1,26,7,32
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.947303,0.00131613,223,254,1,32
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,2,0.559856,0.0019427,209,252,210,252
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,1,0.0147259,0.181122,355,497,220,363
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,7,0.0110237,0.378999,345,495,220,370
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,8,0.0100535,0.181122,355,497,220,363
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,2,0.00873729,0.181122,355,497,220,363
