img,class,cls_conf,obj_conf,xmin,xmax,ymin,ymax
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame40.txt,0,0.270462,0.27175,4,57,170,255
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame40.txt,3,0.471748,0.473576,489,560,241,308
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame100.txt,3,0.676251,0.678504,360,412,17,56
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame100.txt,3,0.777861,0.778716,164,248,121,196
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame101.txt,3,0.251937,0.254174,590,635,23,64
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame101.txt,3,0.631617,0.632396,368,413,15,53
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame101.txt,3,0.747835,0.749056,166,244,135,207
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame102.txt,3,0.591884,0.593867,167,239,140,214
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame12.txt,3,0.267688,0.271118,425,471,126,168
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame132.txt,3,0.334409,0.338584,529,580,19,76
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame133.txt,3,0.29142,0.291823,327,369,21,57
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame133.txt,3,0.603674,0.605412,488,541,10,64
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame134.txt,3,0.548792,0.550379,306,350,28,64
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame136.txt,3,0.323335,0.324818,275,322,42,81
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame136.txt,3,0.652928,0.654622,429,491,5,65
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame151.txt,3,0.856027,0.856821,288,360,6,66
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame152.txt,3,0.765927,0.766584,310,379,1,49
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame153.txt,3,0.601926,0.603835,319,389,0,42
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame154.txt,3,0.333686,0.334261,342,398,0,27
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame185.txt,3,0.30922,0.311793,456,514,103,154
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame186.txt,3,0.300936,0.305199,456,510,105,153
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame186.txt,3,0.661507,0.663917,587,639,23,85
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame187.txt,3,0.408019,0.412186,455,514,105,158
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame188.txt,3,0.577744,0.59253,454,514,108,161
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame189.txt,3,0.566056,0.575626,455,514,110,159
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame19.txt,3,0.349663,0.351387,497,547,158,197
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame19.txt,3,0.733965,0.735529,385,431,27,89
