img,class,cls_conf,obj_conf,xmin,xmax,ymin,ymax
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.998941,0.677881,358,498,245,346
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.998207,0.016033,381,492,244,321
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.99731,0.0240385,262,415,269,379
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.99729,0.00349455,267,367,299,372
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.997275,0.00390989,356,461,260,342
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.996671,0.0131882,276,498,249,366
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.996595,0.00229932,414,447,73,104
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.996192,0.012139,482,519,99,133
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.996007,0.00130474,400,500,258,333
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.995529,0.00166787,307,403,295,365
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.994955,0.00165214,162,212,65,109
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.993499,0.00201473,425,486,244,325
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.992251,0.00105814,281,343,304,369
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,2,0.990543,0.00108528,1,26,1,39
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.947303,0.00131613,223,254,0,33
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,2,0.559856,0.0019427,209,252,209,252
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,1,0.0147259,0.181122,355,497,241,342
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,7,0.0110237,0.378999,345,495,245,345
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,8,0.0100535,0.181122,355,497,241,342
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,2,0.00873729,0.181122,355,497,241,342
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,0,0.0065654,0.181122,355,497,241,342
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,4,0.00568132,0.181122,355,497,241,342
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,9,0.00411852,0.388128,356,497,242,341
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,5,0.00192333,0.657898,346,495,246,344
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,3,0.998475,0.270218,441,486,154,195
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,0,0.997095,0.065617,86,153,206,273
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,3,0.997059,0.00240528,561,638,314,394
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,3,0.995276,0.00112787,523,574,111,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,3,0.99323,0.00105455,275,346,321,373
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,3,0.990157,0.00171819,7,50,49,98
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,3,0.988009,0.0154864,519,559,113,149
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,3,0.981375,0.00432294,442,483,148,184
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,3,0.97627,0.00108634,277,382,264,374
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,3,0.971324,0.00354919,420,503,137,209
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,2,0.837114,0.152591,86,149,207,271
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,2,0.748484,0.00914173,71,159,198,278
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame195.txt,3,0.0540044,0.0190862,82,151,205,272
