img,class,cls_conf,obj_conf,xmin,xmax,ymin,ymax
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame100.txt,0,0.390117,0.625797,41,127,179,269
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame100.txt,0,0.720812,0.850266,189,287,145,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame101.txt,0,0.390117,0.625797,41,127,179,269
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame101.txt,0,0.720812,0.850266,189,287,145,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame102.txt,0,0.631688,0.796728,35,118,187,277
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame102.txt,0,0.734888,0.858497,180,281,135,210
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame103.txt,0,0.628653,0.794834,35,117,188,277
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame103.txt,0,0.735308,0.858749,180,281,134,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame104.txt,0,0.628653,0.794834,35,117,188,277
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame104.txt,0,0.735308,0.858749,180,281,134,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame105.txt,3,0.0679864,0.261344,472,516,115,155
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame105.txt,0,0.596678,0.774265,26,100,194,280
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame105.txt,0,0.777129,0.882075,175,269,129,204
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame106.txt,0,0.617975,0.788004,24,102,194,280
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame106.txt,0,0.772037,0.879187,174,270,129,204
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame107.txt,0,0.618307,0.788228,24,102,194,280
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame107.txt,0,0.773312,0.879935,174,270,129,204
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame108.txt,2,0.11565,0.345548,472,520,116,161
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame108.txt,0,0.649716,0.806504,17,99,192,282
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame108.txt,0,0.726058,0.852653,176,260,124,200
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame109.txt,2,0.124304,0.353767,468,520,116,161
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame109.txt,0,0.715806,0.846401,17,99,192,281
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame109.txt,0,0.71921,0.848731,177,260,125,199
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame110.txt,2,0.123129,0.352096,469,520,116,161
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame110.txt,0,0.711253,0.843728,18,98,192,282
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame110.txt,0,0.720406,0.849441,177,260,125,199
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame111.txt,2,0.0713723,0.267935,477,523,121,166
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame111.txt,3,0.166128,0.408696,235,349,1,107
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame111.txt,0,0.635576,0.797716,179,257,124,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame111.txt,0,0.734132,0.857238,16,96,194,278
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame112.txt,2,0.0640318,0.253757,477,523,122,167
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame112.txt,3,0.16294,0.404743,234,350,1,107
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame112.txt,0,0.650974,0.807271,179,257,123,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame112.txt,0,0.733713,0.856974,16,96,194,280
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame113.txt,2,0.0639716,0.253638,477,523,122,167
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame113.txt,3,0.16294,0.404742,234,350,1,107
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame113.txt,0,0.650974,0.807271,179,257,123,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame113.txt,0,0.733713,0.856974,16,96,194,280
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame114.txt,2,0.0810317,0.285389,482,526,130,173
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame114.txt,3,0.271683,0.522118,147,345,26,185
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame114.txt,0,0.714959,0.845918,14,94,193,281
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame115.txt,2,0.132068,0.364196,481,527,130,173
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame115.txt,3,0.267472,0.518122,147,345,28,185
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame115.txt,0,0.707886,0.841742,14,94,193,281
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame116.txt,2,0.132068,0.364196,481,527,130,173
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame116.txt,3,0.268251,0.51887,147,345,28,185
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame116.txt,0,0.70921,0.842531,14,94,193,281
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame117.txt,3,0.0777704,0.279752,378,427,80,121
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame117.txt,3,0.231349,0.482112,486,531,137,176
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame117.txt,3,0.305283,0.558653,38,270,68,242
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame117.txt,0,0.380531,0.617383,5,81,186,284
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame118.txt,3,0.0956302,0.310074,376,425,80,121
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame118.txt,3,0.231883,0.482679,486,531,137,176
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame118.txt,3,0.306472,0.559625,38,270,68,242
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame118.txt,0,0.356444,0.597531,5,81,186,285
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame119.txt,3,0.0956302,0.310074,376,425,80,121
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame119.txt,3,0.231883,0.482679,486,531,137,176
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame119.txt,3,0.306472,0.559625,38,270,68,242
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame119.txt,0,0.356444,0.597531,5,81,186,285
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame123.txt,0,0.144704,0.381049,181,228,135,195
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame123.txt,3,0.248117,0.499029,493,536,143,183
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame123.txt,3,0.31639,0.565285,405,457,87,128
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame124.txt,3,0.11464,0.339682,326,375,14,56
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame124.txt,0,0.174352,0.418237,181,228,135,195
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame124.txt,3,0.290104,0.539413,493,536,144,183
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame124.txt,3,0.315802,0.564584,406,459,87,128
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame125.txt,3,0.11464,0.339682,326,375,14,56
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame125.txt,0,0.174352,0.418237,181,228,135,195
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame125.txt,3,0.290104,0.539413,493,536,144,183
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame125.txt,3,0.315802,0.564584,406,459,87,128
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame126.txt,3,0.207974,0.457717,331,382,18,60
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame126.txt,0,0.259538,0.512196,6,72,152,207
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame126.txt,3,0.476368,0.69074,497,540,147,185
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame127.txt,3,0.211796,0.461885,331,382,18,60
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame127.txt,0,0.231171,0.48348,6,72,152,207
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame127.txt,3,0.477691,0.691692,497,540,147,185
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame128.txt,3,0.211796,0.461885,331,382,18,60
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame128.txt,0,0.231171,0.48348,6,72,152,207
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame128.txt,3,0.477691,0.691692,497,540,147,185
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame129.txt,0,0.172265,0.416144,172,224,147,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame129.txt,3,0.245256,0.497965,499,541,150,189
