img,class,cls_conf,obj_conf,xmin,xmax,ymin,ymax
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame100.txt,0,0.623393,0.625797,41,127,179,269
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame100.txt,0,0.847749,0.850266,189,287,145,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame101.txt,0,0.623393,0.625797,41,127,179,269
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame101.txt,0,0.847749,0.850266,189,287,145,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame102.txt,0,0.792853,0.796728,35,118,187,277
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame102.txt,0,0.856017,0.858497,180,281,135,210
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame103.txt,0,0.790924,0.794834,35,117,188,277
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame103.txt,0,0.856255,0.858749,180,281,134,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame104.txt,0,0.790924,0.794834,35,117,188,277
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame104.txt,0,0.856255,0.858749,180,281,134,212
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame105.txt,3,0.260142,0.261344,472,516,115,155
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame105.txt,0,0.770637,0.774265,26,100,194,280
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame105.txt,0,0.881023,0.882075,175,269,129,204
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame106.txt,0,0.784229,0.788004,24,102,194,280
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame106.txt,0,0.878126,0.879187,174,270,129,204
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame107.txt,0,0.784426,0.788228,24,102,194,280
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame107.txt,0,0.878829,0.879935,174,270,129,204
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame108.txt,2,0.334686,0.345548,472,520,116,161
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame108.txt,0,0.805595,0.806504,17,99,192,282
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame108.txt,0,0.851529,0.852653,176,260,124,200
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame109.txt,2,0.351372,0.353767,468,520,116,161
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame109.txt,0,0.845706,0.846401,17,99,192,281
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame109.txt,0,0.847395,0.848731,177,260,125,199
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame110.txt,2,0.349703,0.352096,469,520,116,161
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame110.txt,0,0.842989,0.843728,18,98,192,282
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame110.txt,0,0.848095,0.849441,177,260,125,199
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame111.txt,2,0.266379,0.267935,477,523,121,166
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame111.txt,3,0.406482,0.408696,235,349,1,107
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame111.txt,0,0.796746,0.797716,179,257,124,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame111.txt,0,0.856392,0.857238,16,96,194,278
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame112.txt,2,0.252335,0.253757,477,523,122,167
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame112.txt,3,0.402577,0.404743,234,350,1,107
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame112.txt,0,0.806389,0.807271,179,257,123,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame112.txt,0,0.856166,0.856974,16,96,194,280
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame113.txt,2,0.252216,0.253638,477,523,122,167
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame113.txt,3,0.402577,0.404742,234,350,1,107
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame113.txt,0,0.806389,0.807271,179,257,123,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame113.txt,0,0.856166,0.856974,16,96,194,280
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame114.txt,2,0.283934,0.285389,482,526,130,173
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame114.txt,3,0.520348,0.522118,147,345,26,185
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame114.txt,0,0.845186,0.845918,14,94,193,281
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame115.txt,2,0.362629,0.364196,481,527,130,173
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame115.txt,3,0.516234,0.518122,147,345,28,185
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame115.txt,0,0.840978,0.841742,14,94,193,281
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame116.txt,2,0.362629,0.364196,481,527,130,173
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame116.txt,3,0.516992,0.51887,147,345,28,185
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame116.txt,0,0.841761,0.842531,14,94,193,281
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame117.txt,3,0.277998,0.279752,378,427,80,121
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame117.txt,3,0.479866,0.482112,486,531,137,176
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame117.txt,3,0.546462,0.558653,38,270,68,242
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame117.txt,0,0.616362,0.617383,5,81,186,284
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame118.txt,3,0.308411,0.310074,376,425,80,121
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame118.txt,3,0.480409,0.482679,486,531,137,176
