img,cls,xmin,xmax,ymin,ymax,class
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame40.txt,,6,46,159,200,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame10.txt,,420,470,124,172,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame100.txt,,160,256,116,210,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame100.txt,,362,414,14,59,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame100.txt,,586,632,33,81,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame100.txt,,560,612,100,154,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame101.txt,,161,247,134,210,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame101.txt,,372,412,16,52,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame101.txt,,593,639,21,69,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame101.txt,,569,615,103,155,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame102.txt,,161,247,134,210,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame102.txt,,372,412,16,52,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame102.txt,,593,639,16,64,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame102.txt,,570,616,101,152,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame103.txt,,160,252,153,243,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame103.txt,,379,413,16,52,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame103.txt,,593,639,4,52,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame103.txt,,570,616,101,152,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame104.txt,,570,616,101,152,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame104.txt,,602,638,1,41,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame105.txt,,570,616,101,152,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame105.txt,,602,638,1,41,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame11.txt,,420,470,124,172,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame12.txt,,420,470,124,172,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame12.txt,,484,544,163,203,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame13.txt,,420,470,118,166,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame13.txt,,484,544,163,203,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame130.txt,,576,604,30,78,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame131.txt,,553,591,24,72,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame132.txt,,350,382,17,50,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame132.txt,,532,574,18,74,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame133.txt,,326,366,20,59,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame133.txt,,486,546,8,65,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame134.txt,,308,348,30,68,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame134.txt,,464,504,13,65,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame135.txt,,294,334,32,71,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame135.txt,,448,488,2,65,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame136.txt,,278,318,42,80,3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame136.txt,,430,488,2,65,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame137.txt,,452,504,27,111,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame138.txt,,482,514,102,168,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame14.txt,,428,478,117,165,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame14.txt,,484,544,162,200,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame15.txt,,428,478,117,165,-3.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame15.txt,,484,544,162,200,6.0
07baf895b711927a078c12eb6deb88b0#201011270630_0_frame151.txt,,288,358,8,65,3.0
