img,class,cls_conf,obj_conf,xmin,xmax,ymin,ymax
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.680809,0.683539,347,495,221,370
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.0559093,0.0564219,261,400,255,394
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.0313684,0.031759,390,497,232,339
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.0184929,0.0185696,482,519,97,135
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.0178481,0.0182016,273,498,194,419
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.0154603,0.0155488,284,377,292,384
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,2,0.011113,0.0120721,0,26,6,31
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,1,0.0051732,0.378999,345,495,220,370
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,7,0.00417796,0.378999,345,495,220,370
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.00389923,0.00390989,356,461,248,353
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.00346636,0.00349587,415,446,73,105
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,8,0.00344105,0.378999,345,495,220,370
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,2,0.00308926,0.378999,345,495,220,370
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,9,0.00237113,0.657898,346,495,221,370
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,0,0.0023627,0.378999,345,495,220,370
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,4,0.00203301,0.378999,345,495,220,370
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.00200163,0.00201473,425,486,253,315
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.00166041,0.00166787,307,403,282,378
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.00164381,0.00165214,162,212,63,112
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,3,0.0014586,0.00160407,223,254,1,32
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,5,0.00126536,0.657898,346,495,221,370
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame1.txt,2,0.00124173,0.00245255,210,251,210,252
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.197479,0.19919,477,559,214,296
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.0104425,0.0105203,431,460,76,106
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,2,0.00619161,0.00666695,1,25,6,31
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.00446695,0.00451759,274,397,259,382
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.00360036,0.00361426,90,122,76,108
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.00343652,0.00347306,517,587,329,399
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.00201106,0.00202559,305,363,127,184
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.00185666,0.00188889,564,640,-30,47
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.00168325,0.00179909,223,254,1,33
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.00151457,0.00153211,499,562,212,274
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,0,0.00129389,0.00199545,183,225,251,293
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.00108065,0.00108578,529,641,289,401
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,1,0.00106319,0.19919,477,559,214,296
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.00102908,0.00104643,516,603,-33,53
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,8,0.00102789,0.19919,477,559,214,296
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.70084,0.702354,376,427,63,114
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,0,0.399159,0.400501,12,62,137,187
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.0564952,0.0568807,262,388,257,384
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.0250296,0.0260166,367,441,55,128
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.0144373,0.0147544,519,571,160,211
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,0,0.00953096,0.00982686,2,79,126,202
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.00667565,0.00672023,383,422,70,109
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,2,0.0059269,0.0377687,14,62,134,183
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.00393167,0.00397711,572,636,321,385
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.00326001,0.00327177,287,378,286,377
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,9,0.00292079,0.613466,375,428,64,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.00288967,0.00299215,516,562,146,192
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,1,0.00266127,0.462195,375,429,63,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,8,0.0026537,0.462195,375,429,63,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,2,0.00232031,0.635184,376,428,63,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,7,0.00211171,0.462195,375,429,63,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.00171329,0.00171922,519,555,135,171
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,0,0.00146751,0.462195,375,429,63,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.00145618,0.00148534,562,640,308,387
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.00132595,0.400501,12,62,137,187
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,5,0.00126472,0.635184,376,428,63,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,8,0.0012588,0.320394,9,63,134,189
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,4,0.00125843,0.635184,376,428,63,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.00107603,0.0011037,556,587,32,63
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.00103187,0.00104114,373,434,70,131
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,6,0.00102836,0.613466,375,428,64,116
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.708383,0.709614,389,440,93,143
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,0,0.575461,0.577499,19,80,144,205
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,2,0.453546,0.47073,18,81,143,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.0878394,0.0880999,517,557,123,163
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.0178879,0.0184094,378,452,81,156
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.010255,0.28477,16,81,141,205
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.00671216,0.00676917,328,382,160,214
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,2,0.00386226,0.00388265,308,349,425,467
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,0,0.00298073,0.00300556,16,72,161,218
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,9,0.00281583,0.590805,388,439,93,144
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,8,0.00236253,0.590805,388,439,93,144
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,1,0.00228167,0.590805,388,439,93,144
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,7,0.00213647,0.590805,388,439,93,144
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,2,0.00183139,0.63158,388,439,93,144
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,8,0.00182575,0.47073,18,81,143,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,0,0.00177534,0.00435519,25,85,132,191
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.00159223,0.00159905,393,437,109,153
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,1,0.00133315,0.47073,18,81,143,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,0,0.00129587,0.451789,388,439,92,143
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,5,0.00119334,0.63158,388,439,93,144
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,9,0.00117915,0.47073,18,81,143,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,7,0.00117869,0.48011,19,80,144,205
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,4,0.00115,0.590805,388,439,93,144
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,6,0.0010751,0.590805,388,439,93,144
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,3,0.725329,0.726587,389,440,93,144
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,0,0.585712,0.587683,21,80,145,204
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,2,0.38829,0.424015,20,80,144,205
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,3,0.0872193,0.0874835,517,557,123,163
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,3,0.0177901,0.0182973,378,453,81,156
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,3,0.010313,0.293385,19,80,143,204
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,3,0.00889088,0.00897272,327,382,160,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,2,0.00379648,0.00381751,308,349,425,466
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,9,0.00279963,0.599719,388,439,93,144
