img,class,xmin,xmax,ymin,ymax
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame100.txt,5,339,395,17,54
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame100.txt,5,334,378,62,104
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame100.txt,3,190,286,149,217
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame100.txt,3,39,121,182,269
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame101.txt,5,339,395,17,54
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame101.txt,5,334,378,62,104
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame101.txt,3,190,286,149,217
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame101.txt,3,39,121,182,269
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame102.txt,3,175,281,135,210
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame102.txt,3,33,115,185,272
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame103.txt,3,175,281,135,210
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame103.txt,3,33,115,185,272
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame104.txt,3,175,281,135,210
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame104.txt,3,33,115,185,272
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame105.txt,3,170,266,128,201
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame105.txt,3,23,105,190,278
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame106.txt,3,170,266,128,201
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame106.txt,3,23,105,190,278
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame107.txt,3,170,266,128,201
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame107.txt,3,23,105,190,278
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame108.txt,3,170,262,125,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame108.txt,3,22,102,192,281
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame108.txt,7,468,524,120,162
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame109.txt,3,170,262,125,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame109.txt,3,22,102,192,281
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame109.txt,7,468,524,120,162
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame110.txt,7,468,524,120,162
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame110.txt,3,170,262,125,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame110.txt,3,22,102,192,281
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame111.txt,3,176,260,124,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame111.txt,3,16,96,194,283
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame111.txt,7,476,528,123,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame112.txt,3,176,260,124,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame112.txt,3,16,96,194,283
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame112.txt,7,476,528,123,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame113.txt,7,476,528,123,165
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame113.txt,3,176,260,124,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame113.txt,3,16,96,194,283
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame114.txt,3,10,90,195,284
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame114.txt,7,480,532,127,169
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame114.txt,5,158,366,14,181
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame115.txt,3,10,90,195,284
