,img,class,cls_conf,obj_conf,xmin,xmax,ymin,ymax,iou,label
2,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame100.txt,3,0.676251,0.678504,360,412,17,56,17.10256410256403,-3.0
3,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame100.txt,3,0.777861,0.778716,164,248,121,196,4.496183206106868,3.0
4,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame101.txt,3,0.251937,0.254174,590,635,23,64,0.7387387387387384,-3.0
5,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame101.txt,3,0.631617,0.632396,368,413,15,53,0.8421052631578942,3.0
6,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame101.txt,3,0.747835,0.749056,166,244,135,207,4.310344827586205,6.0
7,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame102.txt,3,0.591884,0.593867,167,239,140,214,1.0729335494327388,6.0
8,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame12.txt,3,0.267688,0.271118,425,471,126,168,0.7739557739557736,-3.0
9,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame132.txt,3,0.334409,0.338584,529,580,19,76,0.783316378433367,-3.0
10,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame133.txt,3,0.29142,0.291823,327,369,21,57,5.849999999999992,-3.0
11,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame133.txt,3,0.603674,0.605412,488,541,10,64,0.8368421052631577,-3.0
12,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame134.txt,3,0.548792,0.550379,306,350,28,64,0.7798165137614674,3.0
13,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame136.txt,3,0.323335,0.324818,275,322,42,81,0.8292416803055097,3.0
14,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame136.txt,3,0.652928,0.654622,429,491,5,65,0.950130256791961,3.0
15,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame151.txt,3,0.856027,0.856821,288,360,6,66,0.9236111111111109,3.0
16,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame152.txt,3,0.765927,0.766584,310,379,1,49,0.8850325379609543,3.0
17,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame153.txt,3,0.601926,0.603835,319,389,0,42,0.9718309859154927,3.0
18,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame154.txt,3,0.333686,0.334261,342,398,0,27,0.8976982097186695,3.0
19,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame185.txt,3,0.30922,0.311793,456,514,103,154,0.8762677484787016,-3.0
20,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame186.txt,3,0.300936,0.305199,456,510,105,153,0.8999999999999997,-3.0
21,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame186.txt,3,0.661507,0.663917,587,639,23,85,0.8652710681696186,3.0
22,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame187.txt,3,0.408019,0.412186,455,514,105,158,0.836441455212473,-3.0
23,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame188.txt,3,0.577744,0.59253,454,514,108,161,8.159519725557447,3.0
24,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame189.txt,3,0.566056,0.575626,455,514,110,159,436.3636363635967,3.0
25,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame19.txt,3,0.349663,0.351387,497,547,158,197,3.5801526717557226,3.0
26,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame19.txt,3,0.733965,0.735529,385,431,27,89,3.1239078633836357,6.0
27,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame20.txt,3,0.712784,0.714595,370,422,44,105,1.747983870967741,6.0
28,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame21.txt,3,0.719949,0.722026,365,415,48,107,2.363344051446944,6.0
29,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame23.txt,3,0.460138,0.463015,356,397,51,108,5.394736842105256,6.0
30,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame24.txt,3,0.455959,0.460916,501,555,125,178,0.7180539273153573,3.0
31,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame24.txt,3,0.71091,0.712958,352,405,43,100,1.0795454545454541,-3.0
32,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame25.txt,3,0.417055,0.420066,513,563,119,176,0.790691559295293,3.0
33,07baf895b711927a078c12eb6deb88b0#201011270630_0_frame25.txt,3,0.797619,0.798647,352,416,29,87,1.2810457516339864,-3.0
