,img,class,cls_conf,obj_conf,xmin,xmax,ymin,ymax
0,01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame40.txt,0,0.270462,0.27175,4,57,170,255
1,01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame40.txt,3,0.471748,0.473576,489,560,241,308
90,07baf895b711927a078c12eb6deb88b0#201011270630_frame154.txt,3,0.333686,0.334261,342,398,0,27
145,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame213.txt,3,0.483868,0.484587,309,357,171,219
176,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame26.txt,3,0.494572,0.496922,278,310,176,215
180,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame27.txt,3,0.491023,0.493264,278,311,178,215
185,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame28.txt,3,0.529947,0.531431,275,309,176,215
222,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame48.txt,3,0.252431,0.253252,250,283,176,210
257,1bff883d55ca0bbb67351f8169f76914#201011150930_0_frame62.txt,3,0.35801,0.359273,278,315,150,200
321,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame1161.txt,3,0.39319,0.394981,523,558,67,104
323,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame1162.txt,3,0.497448,0.499322,522,560,66,104
325,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame1163.txt,3,0.684737,0.686389,522,563,67,107
327,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame1164.txt,3,0.413664,0.415765,524,564,65,108
328,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame1165.txt,3,0.367445,0.369306,524,565,67,107
329,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame1166.txt,3,0.592188,0.594143,525,567,64,106
331,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame1167.txt,3,0.591777,0.593729,525,567,64,106
333,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame1168.txt,3,0.56338,0.565331,525,567,64,106
335,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame1169.txt,3,0.668234,0.670084,525,568,66,105
337,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame1170.txt,3,0.727748,0.729209,525,568,66,105
525,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame722.txt,3,0.363091,0.365499,242,296,75,111
526,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame723.txt,3,0.339967,0.342393,242,296,75,111
527,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame724.txt,3,0.290474,0.292868,243,298,75,111
584,2a69f2ad271728c99a849d679745492e#201201170710_s3_2_frame977.txt,3,0.269085,0.269484,339,382,106,139
609,390b3133d417e8660afd01c18abd1a19#201102271650_s10_4_frame48.txt,3,0.359508,0.360168,541,587,0,39
667,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_3_frame44.txt,8,0.574026,0.586683,314,395,267,315
677,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_3_frame56.txt,7,0.382969,0.383446,62,115,145,179
678,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_3_frame56.txt,3,0.639262,0.640681,395,442,27,75
679,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_3_frame58.txt,7,0.276026,0.277896,57,111,132,176
689,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_4_frame113.txt,8,0.438378,0.44707,181,232,140,199
692,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_4_frame114.txt,8,0.633941,0.65792,260,316,177,242
700,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_4_frame132.txt,5,0.525346,0.53407,247,305,257,296
704,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_4_frame136.txt,5,0.57548,0.579865,233,300,254,294
706,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_4_frame165.txt,3,0.556463,0.557096,397,445,170,209
708,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_4_frame166.txt,3,0.54908,0.55083,415,467,157,194
713,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_4_frame226.txt,7,0.253704,0.315586,115,157,107,179
714,39390008c7d6c34e82780f7a7b5a6457#201103310620_s8_4_frame226.txt,3,0.369514,0.462751,115,159,105,180
742,8c1a070baba446762959a70682158553#201206061330_s1_8_frame219.txt,4,0.269479,0.279856,320,437,167,248
743,8c1a070baba446762959a70682158553#201206061330_s1_8_frame220.txt,3,0.252066,0.320457,332,445,174,249
752,8c1a070baba446762959a70682158553#201206061330_s1_8_frame293.txt,3,0.342149,0.343558,163,218,263,316
753,8c1a070baba446762959a70682158553#201206061330_s1_8_frame323.txt,3,0.491142,0.492895,572,629,57,107
756,8c1a070baba446762959a70682158553#201206061330_s1_8_frame367.txt,3,0.269886,0.271188,436,490,302,350
757,8c1a070baba446762959a70682158553#201206061330_s1_8_frame368.txt,3,0.25888,0.260277,437,492,302,348
758,8c1a070baba446762959a70682158553#201206061330_s1_8_frame369.txt,3,0.337863,0.339084,456,505,297,348
759,8c1a070baba446762959a70682158553#201206061330_s1_8_frame370.txt,3,0.32959,0.331098,454,506,299,349
760,8c1a070baba446762959a70682158553#201206061330_s1_8_frame371.txt,3,0.409999,0.411393,466,519,295,346
769,9a6b9ffe9080ad8359f85c47ab5f2b23#201106181650_s5_1_frame1.txt,8,0.306111,0.308722,166,250,224,289
834,9a6b9ffe9080ad8359f85c47ab5f2b23#201106181650_s5_1_frame60.txt,3,0.447813,0.451062,195,261,0,45
939,9a6b9ffe9080ad8359f85c47ab5f2b23#201106181650_s5_1_frame98.txt,3,0.430657,0.434613,344,404,0,33
962,9c333821ab0e2a9e4c5209065c415309#201102031130_s3_0_frame25.txt,0,0.463165,0.465001,201,265,164,245
972,9c333821ab0e2a9e4c5209065c415309#201102031130_s3_0_frame37.txt,0,0.705328,0.70906,67,130,211,263
976,9c333821ab0e2a9e4c5209065c415309#201102031130_s3_0_frame43.txt,0,0.674749,0.676828,209,279,153,225
1022,c969b3d66925a2387f01fb0a6a9ae06c#201104061510_s4_0_frame209.txt,3,0.585224,0.58821,423,483,162,258
1023,c969b3d66925a2387f01fb0a6a9ae06c#201104061510_s4_0_frame210.txt,3,0.583297,0.585282,420,505,164,257
1024,c969b3d66925a2387f01fb0a6a9ae06c#201104061510_s4_0_frame211.txt,3,0.290777,0.54837,439,541,132,243
1025,c969b3d66925a2387f01fb0a6a9ae06c#201104061510_s4_0_frame211.txt,1,0.759658,0.772124,439,538,134,241
1026,c969b3d66925a2387f01fb0a6a9ae06c#201104061510_s4_0_frame212.txt,3,0.288361,0.290136,385,435,181,254
1031,c969b3d66925a2387f01fb0a6a9ae06c#201104061510_s4_0_frame260.txt,3,0.437514,0.439252,344,397,70,134
1038,c969b3d66925a2387f01fb0a6a9ae06c#201104061510_s4_0_frame265.txt,3,0.281988,0.282507,518,567,119,158
1042,c969b3d66925a2387f01fb0a6a9ae06c#201104061510_s4_0_frame275.txt,3,0.263074,0.265116,393,439,198,237
1049,c969b3d66925a2387f01fb0a6a9ae06c#201104061510_s4_0_frame284.txt,3,0.667397,0.673358,497,560,152,191
1050,c969b3d66925a2387f01fb0a6a9ae06c#201104061510_s4_0_frame285.txt,3,0.642401,0.645823,513,575,144,188
1051,c969b3d66925a2387f01fb0a6a9ae06c#201104061510_s4_0_frame286.txt,3,0.563484,0.564407,520,577,139,185
1080,fe16e25855b7fe76e58dd968b328e09b#201104140610_s8_4_frame227.txt,7,0.362496,0.366249,288,322,209,265
1085,fe16e25855b7fe76e58dd968b328e09b#201104140610_s8_4_frame229.txt,3,0.305016,0.307822,562,607,136,191
