img,class,cls_conf,obj_conf,xmin,xmax,ymin,ymax
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,5,1.0,1.0,467,557,210,300
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.99713,0.0014132,275,401,261,387
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.997086,0.00599309,430,460,76,106
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.996799,0.00101613,479,541,224,286
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.99668,0.00122477,494,559,216,280
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.996507,0.00230171,90,122,76,108
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.995268,0.00108578,529,641,289,401
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.994079,0.00102966,521,596,328,403
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.992826,0.00202559,305,363,127,184
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.985834,0.0018344,515,576,332,394
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,2,0.98532,0.00494947,0,22,7,29
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.983416,0.00104643,516,603,-33,53
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.982935,0.00188889,564,640,-30,47
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.970897,0.0257696,472,566,209,303
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.968596,0.00104541,222,255,0,34
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,0,0.648418,0.00199545,183,225,251,293
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,1,0.00533756,0.19919,477,559,214,296
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,8,0.00516035,0.19919,477,559,214,296
