img,class,cls_conf,obj_conf,xmin,xmax,ymin,ymax
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,5,1.0,1.0,467,557,210,300
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.99713,0.0014132,275,401,271,377
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.997086,0.00599309,430,460,77,105
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.996799,0.00101613,479,541,213,297
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.99668,0.00122477,494,559,210,286
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.996507,0.00230171,90,122,72,111
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.995268,0.00108578,529,641,294,395
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.994079,0.00102966,521,596,337,393
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.992826,0.00202559,305,363,130,181
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.985834,0.0018344,515,576,339,388
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,2,0.98532,0.00494947,0,22,0,35
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.983416,0.00104643,516,603,1,19
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.982935,0.00188889,564,640,0,16
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.970897,0.0257696,472,566,210,303
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,3,0.968596,0.00104541,222,255,0,33
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,0,0.648418,0.00199545,183,225,246,298
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,1,0.00533756,0.19919,477,559,211,298
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame15.txt,8,0.00516035,0.19919,477,559,211,298
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,5,1.0,1.0,376,428,58,125
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,0,0.999142,0.215628,9,65,130,197
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.99858,0.377683,374,428,56,123
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.997252,0.0198261,255,399,256,374
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.996764,0.00137645,519,556,137,169
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.99675,0.00594272,381,421,64,114
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.996408,0.00327177,287,378,295,367
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.995732,0.00105127,558,641,282,398
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.993937,0.0130797,523,568,166,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.992812,0.00168371,571,637,308,390
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,0,0.989317,0.00210363,17,57,137,187
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.974935,0.0011037,556,587,33,62
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,0,0.969889,0.00982686,2,79,122,206
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.967737,0.00654963,358,434,45,132
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.966373,0.00267766,516,562,148,190
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,2,0.618199,0.00356869,3,59,132,193
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,3,0.00723701,0.156612,9,64,130,195
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,9,0.00656576,0.412467,375,428,57,123
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,1,0.00590978,0.412467,375,428,57,123
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,8,0.00578532,0.218461,376,429,57,124
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,8,0.00570969,0.184467,8,63,131,196
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,2,0.00530342,0.218461,376,429,57,124
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,7,0.00503129,0.412467,375,428,57,123
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,0,0.00317509,0.462195,375,429,56,123
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,4,0.00271396,0.412467,375,428,57,123
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame155.txt,6,0.00167632,0.613466,375,428,57,123
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,5,1.0,1.0,387,439,86,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.9985,0.617392,389,440,90,146
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.997612,0.0301105,518,558,128,157
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,2,0.997056,0.00251491,310,348,420,464
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,0,0.996472,0.577499,19,80,134,214
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.995733,0.00159905,393,437,105,156
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.995013,0.00224691,326,379,162,214
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,0,0.991739,0.00300556,16,72,158,222
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.979729,0.00149537,381,461,82,159
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,2,0.963494,0.47073,18,81,133,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,0,0.407639,0.00435519,25,85,130,192
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.0712487,0.0382311,19,78,132,199
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,3,0.0260405,0.0430309,5,88,127,221
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,9,0.00654296,0.344605,387,439,90,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,1,0.00590879,0.344605,387,439,90,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,8,0.00574043,0.344605,387,439,90,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,8,0.00543992,0.218387,17,80,131,219
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,7,0.00537994,0.344605,387,439,90,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,2,0.0037887,0.378146,387,439,89,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,0,0.003034,0.344605,387,439,90,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,1,0.00300888,0.415987,17,81,132,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,9,0.0026412,0.415987,17,81,132,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,7,0.00245504,0.48011,19,80,134,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,4,0.00194649,0.590805,388,439,90,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame162.txt,6,0.00181973,0.590805,388,439,90,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,5,1.0,1.0,387,439,86,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,3,0.998508,0.623156,389,440,90,146
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,3,0.997602,0.0300025,518,558,128,157
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,2,0.996994,0.00273078,310,348,420,464
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,0,0.996646,0.587683,21,80,134,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,3,0.996184,0.00149497,393,437,106,156
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,3,0.994883,0.00366696,326,380,163,215
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,0,0.988441,0.00260533,16,73,158,221
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,3,0.980944,0.00153196,381,462,82,159
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,2,0.915744,0.424015,20,80,133,216
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,3,0.0675375,0.0362117,20,78,133,201
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,9,0.00647439,0.351265,387,439,90,147
01465f8f61db58564cd37ce2dfc519c5#201106090830_0_frame164.txt,1,0.0058069,0.351265,387,439,90,147
